Rank,Player,Position,Position Rank,School,Class,Height,Weight,Projected Round
206,Aaron Lynch,DE,18,South Florida,rSo,6-5,249,6
207,Walt Aikens,CB,26,Liberty,Sr,6-1,203,7-Jun
208,Rajion Neal,RB,17,Tennessee,Sr,5-11,211,7-Jun
209,Michael Campanaro,WR,28,Wake Forest,rSr,5-9,192,7-Jun
210,Kasim Edebali,OLB,20,Boston College,Sr,6-2,253,7-Jun
211,Bene Benwikere,CB,27,San Jose State,Sr,5-11,195,7-Jun
212,Calvin Barnett,DT,19,Oklahoma State,Sr,6-2,300,7-Jun
213,Colt Lyerla,TE,11,Oregon,Jr,6-4,242,7-Jun
214,Max Bullough,ILB,9,Michigan State,Sr,6-4,249,7-Jun
215,Howard Jones,OLB,21,Shepherd,rSr,6-3,235,7-Jun
216,Ryan Hewitt,FB,3,Stanford,rSr,6-4,246,7-Jun
217,Rob Blanchflower,TE,12,Massachusetts,rSr,6-4,256,7-Jun
218,Marion Grice,RB,18,Arizona State,Sr,6-1,208,7-Jun
219,Cody Hoffman,WR,29,Brigham Young,Sr,6-4,223,7-Jun
220,Kerry Hyder,DT,20,Texas Tech,rSr,6-3,290,7-Jun
221,Jonathan Newsome,OLB,22,Ball State,rSr,6-3,247,7-Jun
222,Andre Hal,CB,28,Vanderbilt,Sr,5-10,188,7-Jun
223,Taylor Hart,DE,19,Oregon,rSr,6-6,281,7-Jun
224,Corey Linsley,C,6,Ohio State,rSr,6-3,296,7-Jun
225,Kadeem Edwards,OG,12,Tennessee State,Sr,6-4,313,7-Jun
226,Jay Bromley,DT,21,Syracuse,Sr,6-3,306,7-Jun
227,Ethan Westbrooks,DE,20,West Texas A&M,Sr,6-4,267,7-Jun
228,Tre Boston,FS,9,North Carolina,Sr,6-1,204,7-Jun
229,Connor Shaw,QB,12,South Carolina,Sr,6-1,206,7-Jun
230,John Brown,WR,30,Pittsburg State,Sr,5-10,179,7-Jun
231,Aaron Colvin,CB,29,Oklahoma,Sr,5-11,177,7-Jun
232,Justin Britt,OT,18,Missouri,rSr,6-6,325,7-Jun
233,De'Anthony Thomas,RB,19,Oregon,Jr,5-9,174,7-Jun
234,John Urschel,OG,13,Penn State,rSr,6-3,313,7-Jun
235,Alden Darby,SS,8,Arizona State,Sr,5-10,194,7-Jun
236,Lavelle Westbrooks,CB,30,Georgia Southern,Sr,6-1,186,7
237,Jeremiah George,ILB,10,Iowa State,Sr,5-11,234,7
238,L'Damian Washington,WR,31,Missouri,rSr,6-4,195,7
239,Trey Millard,FB,4,Oklahoma,Sr,6-2,247,7
240,Spencer Long,OG,14,Nebraska,rSr,6-5,320,7
241,Richard Rodgers,TE,13,California,rSo,6-4,257,7
242,Wesley Johnson,OT,19,Vanderbilt,rSr,6-5,297,7
243,Marcel Jensen,TE,14,Fresno State,rSr,6-6,259,7
244,Austin Franklin,WR,32,New Mexico State,rJr,5-11,189,7
245,Derrell Johnson,OLB,23,East Carolina,Sr,6-1,248,7
246,Carrington Byndom,CB,31,Texas,Sr,5-11,180,7
247,Eathyn Manumaleuna,DT,22,Brigham Young,rSr,6-2,296,7
248,Ryan Groy,OG,15,Wisconsin,rSr,6-5,316,7
249,Jemea Thomas,FS,10,Georgia Tech,rSr,5-9,192,7
250,Andrew Jackson,ILB,11,Western Kentucky,Sr,6-1,254,7
251,Dezmen Southward,SS,9,Wisconsin,rSr,6-1,211,7
252,Trey Burton,WR,33,Florida,Sr,6-2,224,7
253,Charles Sawyer,CB,32,Ole Miss,rSr,5-10,183,7
254,Jordan Najvar,TE,15,Baylor,rSr,6-6,256,7
255,Larry Webster,DE,21,Bloomsburg,rSr,6-6,252,7
256,Marcus Williams,CB,33,North Dakota State,rSr,5-11,196,7-FA
257,Antonio Andrews,RB,20,Western Kentucky,Sr,5-10,225,7-FA
258,Logan Thomas,QB,13,Virginia Tech,rSr,6-6,248,7-FA
259,Josh Stewart,WR,34,Oklahoma State,Jr,5-10,178,7-FA
260,Pat O'Donnell,P,3,Miami (Fla.),rSr,6-4,220,7-FA
261,Cornelius Lucas,OT,20,Kansas State,rSr,6-8,316,7-FA
262,Denicos Allen,OLB,24,Michigan State,rSr,5-10,225,7-FA
